claim_id	claim	label	claim_url	reason	categories	speaker	checker	tags	article_title	publish_date	claim_date
11	Hoax Warning Claims 'Bompie' Brand Frozen Juice Has Killed 180 People	Bogus Warning	https://www.hoax-slayer.com/bompie-frozen-juice-killed-180-people-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax Warning Claims 'Bompie' Brand Frozen Juice Has Killed 180 People	November 4, 2015	None
12	Police Dismiss Sydney New Year's Eve Terror Warning as a Hoax	Bogus Warning	https://www.hoax-slayer.com/wallet-found-sydney-new-years-eve-hoax.shtml	None	None	None	Brett M. Christensen	None	Police Dismiss Sydney New Year's Eve Terror Warning as a Hoax	November 15, 2014	None
13	'R.I.P. Miley Cyrus' Facebook Scam	Bogus Warning	https://www.hoax-slayer.com/rip-miley-cyrus-survey-scam.shtml	None	None	None	Brett M. Christensen	None	'R.I.P. Miley Cyrus' Facebook Scam	November 6, 2014	None
14	Isis Door Knocking Warning Message is a Hoax	Bogus Warning	https://www.hoax-slayer.com/isis-marking-christian-homes-false-rumour.shtml	None	None	None	Brett M. Christensen	None	Isis Door Knocking Warning Message is a Hoax	September 29, 2014	None
15	HOAX - 'Cosmic Rays Entering Earth From Mars'	Bogus Warning	https://www.hoax-slayer.com/cosmic-rays-entering-earth-from-mars-hoax.shtml	None	None	None	Brett M. Christensen	None	HOAX - 'Cosmic Rays Entering Earth From Mars'	September 15, 2014	None
16	HOAX - 'Chemical Laced $100 Bills Placed on Cars to Kidnap Drivers'	Bogus Warning	https://www.hoax-slayer.com/100-dollar-note-car-chemical-kidnap-warning-hoax.shtml	None	None	None	Brett M. Christensen	None	HOAX - 'Chemical Laced $100 Bills Placed on Cars to Kidnap Drivers'	September 1, 2014	None
17	Decorative Magnets on Refrigerators - Cancer Warning Hoax	Bogus Warning	https://www.hoax-slayer.com/refrigerator-door-magnet-warning.shtml	None	None	None	Brett M. Christensen	None	Decorative Magnets on Refrigerators - Cancer Warning Hoax	August 13, 2014	None
18	Contact Lens BBQ Warning Hoax	Bogus Warning	https://www.hoax-slayer.com/melted-contact-lens-bbq.shtml	None	None	None	Brett M. Christensen	None	Contact Lens BBQ Warning Hoax	July 21, 2014	None
19	Bogus Warning - Don't Flash Headlights Gang Initiation	Bogus Warning	https://www.hoax-slayer.com/flash-lights-hoax.shtml	None	None	None	Brett M. Christensen	None	Bogus Warning - Don't Flash Headlights Gang Initiation	July 18, 2014	None
20	False Claim - Onions are Magnets for Bacteria	Bogus Warning	https://www.hoax-slayer.com/onions-magnet-bacteria.shtml	None	None	None	Brett M. Christensen	None	False Claim - Onions are Magnets for Bacteria	July 16, 2014	None
21	Misleading Warning about Missed Calls From +375 and +371 Numbers	Bogus Warning	https://www.hoax-slayer.com/missed-375-calls.shtml	None	None	None	Brett M. Christensen	None	Misleading Warning about Missed Calls From +375 and +371 Numbers	July 15, 2014	None
22	Hoax - 'Dangerous 'New Known Spider' Spreading In Australia'	Bogus Warning	https://www.hoax-slayer.com/new-known-spider-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax - 'Dangerous 'New Known Spider' Spreading In Australia'	July 10, 2014	None
23	Facebook Deleting Inactive Users Hoax - 'Facebook Overpopulated'	Bogus Warning	https://www.hoax-slayer.com/facebook-overpopulated-hoax.shtml	None	None	None	Brett M. Christensen	None	Facebook Deleting Inactive Users Hoax - 'Facebook Overpopulated'	July 8, 2014	None
24	HOAX - 'Breast Larvae Infestation From Undergarments'	Bogus Warning	https://www.hoax-slayer.com/breast-larvae.html	None	None	None	Brett M. Christensen	None	HOAX - 'Breast Larvae Infestation From Undergarments'	June 2, 2014	None
25	HOAX - 'Semen Found on McDonald's Burger'	Bogus Warning	https://www.hoax-slayer.com/hoax-semen-mcdonalds-mayonnaise.shtml	None	None	None	Brett M. Christensen	None	HOAX - 'Semen Found on McDonald's Burger'	May 28, 2014	None
26	HOAX - 'Maggie From Sweden Hacker Alert'	Bogus Warning	https://www.hoax-slayer.com/maggie-from-sweden-hacker-alert-hoax.shtml	None	None	None	Brett M. Christensen	None	HOAX - 'Maggie From Sweden Hacker Alert'	May 15, 2014	None
27	BOGUS WARNING - ' White Van With Reg 7465 CGF Stealing Dogs'	Bogus Warning	https://www.hoax-slayer.com/dog-stealing-white-van-bogus-warning.shtml	None	None	None	Brett M. Christensen	None	BOGUS WARNING - ' White Van With Reg 7465 CGF Stealing Dogs'	April 24, 2014	None
28	NONSENSE - 'All Americans Microchipped by 2017'	Bogus Warning	https://www.hoax-slayer.com/all-americans-microchipped-2017.shtml	None	None	None	Brett M. Christensen	None	NONSENSE - 'All Americans Microchipped by 2017'	April 10, 2014	None
29	809 Area Code Scam Warning Email	Bogus Warning	https://www.hoax-slayer.com/area-code-809-scam.html	None	None	None	Brett M. Christensen	None	809 Area Code Scam Warning Email	April 4, 2014	None
30	No, Energy Drinks Do NOT Contain Bull Sperm	Bogus Warning	https://www.hoax-slayer.com/energy-drinks-bull-sperm-warning.shtml	None	None	None	Brett M. Christensen	None	No, Energy Drinks Do NOT Contain Bull Sperm	March 19, 2014	None
31	AIDS From Contaminated Take Away Food Warning	Bogus Warning	https://www.hoax-slayer.com/aids-burger.html	None	None	None	Brett M. Christensen	None	AIDS From Contaminated Take Away Food Warning	March 12, 2014	None
32	Absurd Warning Claims That Monster Energy Drink Logo Hails Satan	Bogus Warning	https://www.hoax-slayer.com/monster-666.shtml	None	None	None	Brett M. Christensen	None	Absurd Warning Claims That Monster Energy Drink Logo Hails Satan	May 15, 2014	None
33	Hoax - 'Instagram Randomly Deleting Accounts'	Bogus Warning	https://www.hoax-slayer.com/instagram-randomly-deleting-accounts-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax - 'Instagram Randomly Deleting Accounts'	March 7, 2014	None
34	Misleading and Inaccurate Warning ? 'Don?t Answer Calls While Charging Cell Phone'	Bogus Warning	https://www.hoax-slayer.com/boy-died-mumbai-phone-call-while-charging.shtml	None	None	None	Brett M. Christensen	None	Misleading and Inaccurate Warning ? 'Don?t Answer Calls While Charging Cell Phone'	February 3, 2014	None
35	Roach Eggs on Envelopes Hoax	Bogus Warning	https://www.hoax-slayer.com/roach-eggs.html	None	None	None	Brett M. Christensen	None	Roach Eggs on Envelopes Hoax	January 23, 2014	None
36	Legoland Child Abduction Attempt Hoax	Bogus Warning	https://www.hoax-slayer.com/legoland-abduction-rumour.shtml	None	None	None	Brett M. Christensen	None	Legoland Child Abduction Attempt Hoax	January 13, 2014	None
37	Fake Picasa 'New Photos' Emails Point to Dodgy Pharmacy Website	Bogus Warning	https://www.hoax-slayer.com/picasa-pharmacy-spam.shtml	None	None	None	Brett M. Christensen	None	Fake Picasa 'New Photos' Emails Point to Dodgy Pharmacy Website	January 13, 2014	None
38	Hoax Warning: Lost Child Lure - 'New Way for Gang Members to Rape Women'	Bogus Warning	https://www.hoax-slayer.com/gang-member-child-lure-warning.shtml	None	None	None	Brett M. Christensen	None	Hoax Warning: Lost Child Lure - 'New Way for Gang Members to Rape Women'	January 9, 2014	None
39	Hoax - Romanian Door-to-Door Perfume Sellers Burundanga Robberies	Bogus Warning	https://www.hoax-slayer.com/door-to-door-perfume-sellers-burundanga.shtml	None	None	None	Brett M. Christensen	None	Hoax - Romanian Door-to-Door Perfume Sellers Burundanga Robberies	December 13, 2013	None
40	Paper Laced With Drugs Perfume Hoax	Bogus Warning	https://www.hoax-slayer.com/paper-laced-drugs-warning.shtml	None	None	None	Brett M. Christensen	None	Paper Laced With Drugs Perfume Hoax	November 29, 2013	None
41	Bogus Health Warning - Scratch Card 'Silver Nitro Oxide' Coating Causes Skin Cancer	Bogus Warning	https://www.hoax-slayer.com/silver-nitro-oxide-cancer-warning.shtml	None	None	None	Brett M. Christensen	None	Bogus Health Warning - Scratch Card 'Silver Nitro Oxide' Coating Causes Skin Cancer	November 27, 2013	None
42	ASDA Attempted Kidnapping Hoax	Bogus Warning	https://www.hoax-slayer.com/asda-attempted-abduction-rumour.shtml	None	None	None	Brett M. Christensen	None	ASDA Attempted Kidnapping Hoax	November 5, 2013	None
43	False Rumour - Patron at Cosmo Romford Finds Dog Microchip Wedged in Tooth	Bogus Warning	https://www.hoax-slayer.com/cosmo-romford-dog-microchip-rumour.shtml	None	None	None	Brett M. Christensen	None	False Rumour - Patron at Cosmo Romford Finds Dog Microchip Wedged in Tooth	November 4, 2013	None
44	Hoax - Hacking Group Anonymous Targeting Facebook Users With Giraffe Profile Pics	Bogus Warning	https://www.hoax-slayer.com/giraffe-challenge-anonymous-hacking-warning.shtml	None	None	None	Brett M. Christensen	None	Hoax - Hacking Group Anonymous Targeting Facebook Users With Giraffe Profile Pics	October 28, 2013	None
45	Giraffe Profile Picture Virus Hoax.	Bogus Warning	https://www.hoax-slayer.com/giraffe-profile-picture-virus-hoax.shtml	None	None	None	Brett M. Christensen	None	Giraffe Profile Picture Virus Hoax.	October 28, 2013	None
46	Bogus Warning - Canned Fruit From Thailand Contaminated With HIV	Bogus Warning	https://www.hoax-slayer.com/canned-fruit-thailand-hiv-hoax.shtml	None	None	None	Brett M. Christensen	None	Bogus Warning - Canned Fruit From Thailand Contaminated With HIV	October 28, 2013	None
47	Instant Noodles do NOT contain a Wax Coating That Causes Cancer	Bogus Warning	https://www.hoax-slayer.com/instant-noodles-wax-cancer-hoax.shtml	None	None	None	Brett M. Christensen	None	Instant Noodles do NOT contain a Wax Coating That Causes Cancer	October 25, 2013	None
48	Hoax - Cell Phone Numbers Go Public This Month	Bogus Warning	https://www.hoax-slayer.com/cellphone-numbers-going-public.shtml	None	None	None	Brett M. Christensen	None	Hoax - Cell Phone Numbers Go Public This Month	October 18, 2013	None
49	Hoax - HIV Needles Hidden Under Gas Pump Handles	Bogus Warning	https://www.hoax-slayer.com/hiv-needles-gas-pumps.shtml	None	None	None	Brett M. Christensen	None	Hoax - HIV Needles Hidden Under Gas Pump Handles	October 9, 2013	None
50	Hoax Message Warns Users Not To Contact DreamWeaverGrey	Bogus Warning	https://www.hoax-slayer.com/dreamweavergrey-contact-warning.shtml	None	None	None	Brett M. Christensen	None	Hoax Message Warns Users Not To Contact DreamWeaverGrey	October 1, 2013	None
51	Hoax Warning Message - 'National Kill A Pit Bull Day'	Bogus Warning	https://www.hoax-slayer.com/kill-pitbull-day-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax Warning Message - 'National Kill A Pit Bull Day'	September 19, 2013	None
52	Hoax: HIV Infected Blood In Pepsi	Bogus Warning	https://www.hoax-slayer.com/pepsi-hiv-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax: HIV Infected Blood In Pepsi	September 19, 2013	None
53	Bogus Warning - 'Russian Booksellers Looking For Children'	Bogus Warning	https://www.hoax-slayer.com/russian-door-to-door-booksellers-false-warning.html	None	None	None	Brett M. Christensen	None	Bogus Warning - 'Russian Booksellers Looking For Children'	August 30, 2013	None
54	Crying Baby Serial Killer Hoax	Bogus Warning	https://www.hoax-slayer.com/crying-baby-hoax.html	None	None	None	Brett M. Christensen	None	Crying Baby Serial Killer Hoax	August 30, 2013	None
55	Gang Initiation Warning Hoax - Infant Car Seat Left On Roadside	Bogus Warning	https://www.hoax-slayer.com/infant-car-seat-gang-warning.shtml	None	None	None	Brett M. Christensen	None	Gang Initiation Warning Hoax - Infant Car Seat Left On Roadside	August 29, 2013	None
56	Nichole Morgan Friend Request Hacker Hoax	Bogus Warning	https://www.hoax-slayer.com/nichole-morgan-hacker-hoax.shtml	None	None	None	Brett M. Christensen	None	Nichole Morgan Friend Request Hacker Hoax	July 31, 2013	None
57	Circulating Warning Claims Antiperspirants Cause Breast Cancer	Bogus Warning	https://www.hoax-slayer.com/antiperspirant-breast-cancer-warning.shtml	None	None	None	Brett M. Christensen	None	Circulating Warning Claims Antiperspirants Cause Breast Cancer	July 26, 2013	None
58	Myth – Ice Water Can Cause Dangerous Bloating in Dogs	Bogus Warning	https://www.hoax-slayer.com/ice-water-harmful-dogs-myth.shtml	None	None	None	Brett M. Christensen	None	Myth – Ice Water Can Cause Dangerous Bloating in Dogs	July 11, 2013	None
59	Hoax Warning Claims Deadly Swine Flu Epidemic in South Africa	Bogus Warning	https://www.hoax-slayer.com/south-african-swine-flu-warning-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax Warning Claims Deadly Swine Flu Epidemic in South Africa	July 4, 2013	None
60	Christopher or Jessica Davies Hacker Hoax Warning	Bogus Warning	https://www.hoax-slayer.com/christopher-davies-hacker-hoax.shtml	None	None	None	Brett M. Christensen	None	Christopher or Jessica Davies Hacker Hoax Warning	June 21, 2013	None
61	Perfume Email Hoax	Bogus Warning	https://www.hoax-slayer.com/perfume-bogus-warning.html	None	None	None	Brett M. Christensen	None	Perfume Email Hoax	June 12, 2013	None
62	Cold Water Causes Cancer Warning Message - Warm Water and Heart Attacks	Bogus Warning	https://www.hoax-slayer.com/cold-water-cancer.html	None	None	None	Brett M. Christensen	None	Cold Water Causes Cancer Warning Message - Warm Water and Heart Attacks	June 3, 2013	None
63	Tanner Dwyer Friend Request Hacker Hoax	Bogus Warning	https://www.hoax-slayer.com/tanner-dwyer-friend-request-hoax.shtml	None	None	None	Brett M. Christensen	None	Tanner Dwyer Friend Request Hacker Hoax	May 28, 2013	None
64	No, A Facebook Page is NOT Stealing Baby Photos of People Who Have 'Baby' On Their Walls	Bogus Warning	https://www.hoax-slayer.com/facebook-pages-stealing-baby-photos-warning.shtml	None	None	None	Brett M. Christensen	None	No, A Facebook Page is NOT Stealing Baby Photos of People Who Have 'Baby' On Their Walls	May 9, 2013	None
65	Becoming a Father or Mother Facebook Group Pedophile Warning Hoax	Bogus Warning	https://www.hoax-slayer.com/facebook-father-and-mother-group-hoax.shtml	None	None	None	Brett M. Christensen	None	Becoming a Father or Mother Facebook Group Pedophile Warning Hoax	April 30, 2013	None
66	Exploding Cactus Spider Hoax	Bogus Warning	https://www.hoax-slayer.com/cactus-spider.html	None	None	None	Brett M. Christensen	None	Exploding Cactus Spider Hoax	April 18, 2013	None
67	Burundanga Business Card Drug Warning	Bogus Warning	https://www.hoax-slayer.com/burundanga-warning.shtml	None	None	None	Brett M. Christensen	None	Burundanga Business Card Drug Warning	April 16, 2013	None
68	Viral Facebook Message Falsely Claims that a Pictured Man is Posing as an RSPCA Officer and Stealing Dogs	Bogus Warning	https://www.hoax-slayer.com/rspca-officer-hoax.shtml	None	None	None	Brett M. Christensen	None	Viral Facebook Message Falsely Claims that a Pictured Man is Posing as an RSPCA Officer and Stealing Dogs	March 28, 2013	None
69	Gun Owner Vehicle Tagging Hoax	Bogus Warning	https://www.hoax-slayer.com/gun-owner-vehicle-tagging-hoax.shtml	None	None	None	Brett M. Christensen	None	Gun Owner Vehicle Tagging Hoax	March 26, 2013	None
70	Use Left Ear For Mobile Phone Hoax	Bogus Warning	https://www.hoax-slayer.com/use-left-ear-mobile.html	None	None	None	Brett M. Christensen	None	Use Left Ear For Mobile Phone Hoax	March 23, 2013	None
71	Bogus Warning – White Transit Van 'RH57 WSU' Trying To Steal Dogs	Bogus Warning	https://www.hoax-slayer.com/white-van-dog-stealing.shtml	None	None	None	Brett M. Christensen	None	Bogus Warning – White Transit Van 'RH57 WSU' Trying To Steal Dogs	March 23, 2013	None
72	Urban Legend - Couple Arrested at Airport with Dead Baby Stuffed With Drugs	Bogus Warning	https://www.hoax-slayer.com/baby-drug-smuggling.shtml	None	None	None	Brett M. Christensen	None	Urban Legend - Couple Arrested at Airport with Dead Baby Stuffed With Drugs	March 22, 2013	None
73	Hoax - Eating Shrimp and Taking Vitamin C Can Cause Death by Arsenic Poisoning	Bogus Warning	https://www.hoax-slayer.com/shrimp-vitamin-c-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax - Eating Shrimp and Taking Vitamin C Can Cause Death by Arsenic Poisoning	March 11, 2013	None
74	KFC 'Genetically Manipulated Organisms' Hoax	Bogus Warning	https://www.hoax-slayer.com/kfc-fake-chickens-hoax.shtml	None	None	None	Brett M. Christensen	None	KFC 'Genetically Manipulated Organisms' Hoax	March 5, 2013	None
75	Perth Dog Fighting Gang 'Coloured Stickers' Hoax	Bogus Warning	https://www.hoax-slayer.com/perth-dog-fighting-ring-hoax.shtml	None	None	None	Brett M. Christensen	None	Perth Dog Fighting Gang 'Coloured Stickers' Hoax	March 4, 2013	None
76	Kidney Stealing Hoax	Bogus Warning	https://www.hoax-slayer.com/kidney-stealing-hoax.html	None	None	None	Brett M. Christensen	None	Kidney Stealing Hoax	March 1, 2013	None
77	Bogus Warning - 'Talking Angela' Threat to Children	Bogus Warning	https://www.hoax-slayer.com/talking-angela-warning.shtml	None	None	None	Brett M. Christensen	None	Bogus Warning - 'Talking Angela' Threat to Children	February 25, 2013	None
78	Frederic Pretty Facebook Hacker Hoax	Bogus Warning	https://www.hoax-slayer.com/frederic-pretty-hacking-hoax.shtml	None	None	None	Brett M. Christensen	None	Frederic Pretty Facebook Hacker Hoax	February 12, 2013	None
79	Blackberry 'Broadcast or Update Cancelled' Hoax	Bogus Warning	https://www.hoax-slayer.com/blackberry-update-hoax.shtml	None	None	None	Brett M. Christensen	None	Blackberry 'Broadcast or Update Cancelled' Hoax	January 18, 2013	None
80	Lead in Lipstick Alert - Cancer Causing Lipstick Hoax	Bogus Warning	https://www.hoax-slayer.com/lead-lipstick.html	None	None	None	Brett M. Christensen	None	Lead in Lipstick Alert - Cancer Causing Lipstick Hoax	January 18, 2013	None
81	Destiny Valle Facebook Page Hacker 'Warning'	Bogus Warning	https://www.hoax-slayer.com/destiny-valle-hacker-warning.shtml	None	None	None	Brett M. Christensen	None	Destiny Valle Facebook Page Hacker 'Warning'	January 15, 2013	None
82	Fake NSW Police Warning - Tracking Devices Placed on Cars	Bogus Warning	https://www.hoax-slayer.com/nsw-police-tracker-warning-hoax.shtml	None	None	None	Brett M. Christensen	None	Fake NSW Police Warning - Tracking Devices Placed on Cars	January 10, 2013	None
83	Sun Powered Key Ring Tracking Device Hoax	Bogus Warning	https://www.hoax-slayer.com/key-ring-tracking-hoax.shtml	None	None	None	Brett M. Christensen	None	Sun Powered Key Ring Tracking Device Hoax	December 22, 2012	None
84	Holiday Horrors – Are Common Seasonal Decorations Toxic?	Bogus Warning	https://www.hoax-slayer.com/poinsettias-toxic-warnings.shtml	None	None	None	Brett M. Christensen	None	Holiday Horrors – Are Common Seasonal Decorations Toxic?	December 10, 2012	None
85	Leptospirosis Death Warning - Rat Urine on Soda Can Top	Bogus Warning	https://www.hoax-slayer.com/leptospirosis-soda-can.html	None	None	None	Brett M. Christensen	None	Leptospirosis Death Warning - Rat Urine on Soda Can Top	December 3, 2012	None
86	Check Your Receipts - Cash Back Scam Warning Email	Bogus Warning	https://www.hoax-slayer.com/cash-back-scam-warning.shtml	None	None	None	Brett M. Christensen	None	Check Your Receipts - Cash Back Scam Warning Email	November 22, 2012	None
87	DEW Bottled Water Fatal Poisoning Hoax	Bogus Warning	https://www.hoax-slayer.com/dew-water-poison-hoax.shtml	None	None	None	Brett M. Christensen	None	DEW Bottled Water Fatal Poisoning Hoax	November 21, 2012	None
88	Misinformation Regarding Straight Ticket Voting On 06 November 2012 US General Election	Bogus Warning	https://www.hoax-slayer.com/straight-party-ticket-warning.shtml	None	None	None	Brett M. Christensen	None	Misinformation Regarding Straight Ticket Voting On 06 November 2012 US General Election	November 1, 2012	None
89	Dubious Facebook 'Security Alert' - Obama Nation Hackers	Bogus Warning	https://www.hoax-slayer.com/obama-nation-hacker-warning.shtml	None	None	None	Brett M. Christensen	None	Dubious Facebook 'Security Alert' - Obama Nation Hackers	October 12, 2012	None
90	Hoax - 'Deadly Sanitary Pad' Responsible for 53 Deaths	Bogus Warning	https://www.hoax-slayer.com/sanitary-pad-deaths-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax - 'Deadly Sanitary Pad' Responsible for 53 Deaths	August 16, 2012	None
91	Nine Zero Hash Phone Scam Hoax	Bogus Warning	https://www.hoax-slayer.com/nine-zero-hash-hoax.html	None	None	None	Brett M. Christensen	None	Nine Zero Hash Phone Scam Hoax	31st May 2012	None
92	Do Not Call - Mobile Phones Going Public Hoax	Bogus Warning	https://www.hoax-slayer.com/do-not-call-register.shtml	None	None	None	Brett M. Christensen	None	Do Not Call - Mobile Phones Going Public Hoax	9th May 2012	None
93	False Warning - Facebook Will Soon Require Social Security Numbers When Users Login	Bogus Warning	https://www.hoax-slayer.com/facebook-social-security-login-hoax.shtml	None	None	None	Brett M. Christensen	None	False Warning - Facebook Will Soon Require Social Security Numbers When Users Login	2nd March 2012	None
94	Strawberry Quick Methamphetamine Warning	Bogus Warning	https://www.hoax-slayer.com/strawberry-quick-meth.shtml	None	None	None	Brett M. Christensen	None	Strawberry Quick Methamphetamine Warning	24th February 2012	None
95	Cruise Control Hydroplane Warning	Bogus Warning	https://www.hoax-slayer.com/cruise-control-warning.html	None	None	None	Brett M. Christensen	None	Cruise Control Hydroplane Warning	20th February 2012	None
96	Urban Legend - Rapist Hides in Back Seat at Garage	Bogus Warning	https://www.hoax-slayer.com/backseat-rapist.shtml	None	None	None	Brett M. Christensen	None	Urban Legend - Rapist Hides in Back Seat at Garage	8th February 2012	None
97	Unfounded Facebook Rumour - Thierry Mairot Wants to Talk to Children About Sex	Bogus Warning	https://www.hoax-slayer.com/thierry-mairot-rumour.shtml	None	None	None	Brett M. Christensen	None	Unfounded Facebook Rumour - Thierry Mairot Wants to Talk to Children About Sex	9th January 2012	None
98	Hoax Warning - Anthrax in Tide Detergent Packs	Bogus Warning	https://www.hoax-slayer.com/anthrax-tide-detergent-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax Warning - Anthrax in Tide Detergent Packs	5th January 2012	None
99	Bogus Warning Claims KiK Messenger is a Hacking Scheme	Bogus Warning	https://www.hoax-slayer.com/kik-messenger-hacker-hoax.shtml	None	None	None	Brett M. Christensen	None	Bogus Warning Claims KiK Messenger is a Hacking Scheme	4th January 2012	None
100	Hotel Key Card Security Risk Hoax	Bogus Warning	https://www.hoax-slayer.com/hotel-key-card.html	None	None	None	Brett M. Christensen	None	Hotel Key Card Security Risk Hoax	3rd December 2011	None
101	Bogus Warning - Scammers Asking for Baby Details to Claim Benefits in Your Children's Names	Bogus Warning	https://www.hoax-slayer.com/baby-details-scam-warning.shtml	None	None	None	Brett M. Christensen	None	Bogus Warning - Scammers Asking for Baby Details to Claim Benefits in Your Children's Names	24th November 2011	None
102	Hoax - Albany Bread Poisoned by Staff	Bogus Warning	https://www.hoax-slayer.com/albany-bread-poisoned-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax - Albany Bread Poisoned by Staff	14th November 2011	None
103	False Warning - Red Dot Inside a Red Square On Chocolate Bars Indicates That Product Contains A Pork Derivative	Bogus Warning	https://www.hoax-slayer.com/red-dot-red-square-chocolate-warning.shtml	None	None	None	Brett M. Christensen	None	False Warning - Red Dot Inside a Red Square On Chocolate Bars Indicates That Product Contains A Pork Derivative	7th November 2011	None
104	Live Ants In The Brain Hoax	Bogus Warning	https://www.hoax-slayer.com/ants-brain-hoax.shtml	None	None	None	Brett M. Christensen	None	Live Ants In The Brain Hoax	1st November 2011	None
105	Hoax Warning - 300km Winds for Johannesburg Region This Weekend	Bogus Warning	https://www.hoax-slayer.com/johannesburg-300k-winds-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax Warning - 300km Winds for Johannesburg Region This Weekend	14th October 2011	None
106	Hoax - Professional Hacker 'Faceb Hu' Taking Control Of Computers Via Friend Requests	Bogus Warning	https://www.hoax-slayer.com/faceb-hu-hacker-hoax.shtml	None	None	None	Brett M. Christensen	None	Hoax - Professional Hacker 'Faceb Hu' Taking Control Of Computers Via Friend Requests	19th August 2011	None
107	Mobile Phone Misinformation - XALAN and #90 Hoax	Bogus Warning	https://www.hoax-slayer.com/xalan-hoax.html	None	None	None	Brett M. Christensen	None	Mobile Phone Misinformation - XALAN and #90 Hoax	8th July 2011	None
108	UPS Uniforms Hoax	Bogus Warning	https://www.hoax-slayer.com/ups-uniforms-hoax.html	None	None	None	Brett M. Christensen	None	UPS Uniforms Hoax	11th May 2011	None
109	Pointless Warning Message - Facebook About to Become Owner of Your Private Photos	Bogus Warning	https://www.hoax-slayer.com/facebook-owns-your-pictures-warning.shtml	None	None	None	Brett M. Christensen	None	Pointless Warning Message - Facebook About to Become Owner of Your Private Photos	29th April 2011	None
110	Unfounded Facebook Rumour- Bob Howard Pedophile Warning	Bogus Warning	https://www.hoax-slayer.com/bob-howard-rumour.shtml	None	None	None	Brett M. Christensen	None	Unfounded Facebook Rumour- Bob Howard Pedophile Warning	28th April 2011	None
111	Facebook Virus Using Your Pictures Warning	Bogus Warning	https://www.hoax-slayer.com/facebook-pictures-virus-warning.shtml	None	None	None	Brett M. Christensen	None	Facebook Virus Using Your Pictures Warning	27th March 2011	None
